running histogram
number of data points: 9660519
average: 16.300908
0.000000-0.250000: 0.044030
0.250000-0.500000: 0.043633
0.500000-0.750000: 0.042698
0.750000-1.000000: 0.041492
1.000000-1.250000: 0.039912
1.250000-1.500000: 0.038031
1.500000-1.750000: 0.036038
1.750000-2.000000: 0.033770
2.000000-2.250000: 0.031278
2.250000-2.500000: 0.028858
2.500000-2.750000: 0.026641
2.750000-3.000000: 0.024223
3.000000-3.250000: 0.022143
3.250000-3.500000: 0.020052
3.500000-3.750000: 0.018127
3.750000-4.000000: 0.016402
4.000000-4.250000: 0.014923
4.250000-4.500000: 0.013497
4.500000-4.750000: 0.012252
4.750000-5.000000: 0.011147
