running histogram
number of data points: 9660679
average: 19.736613
0.000000-0.250000: 0.061301
0.250000-0.500000: 0.073717
0.500000-0.750000: 0.027307
0.750000-1.000000: 0.012313
1.000000-1.250000: 0.009797
1.250000-1.500000: 0.008898
1.500000-1.750000: 0.008324
1.750000-2.000000: 0.007821
2.000000-2.250000: 0.007478
2.250000-2.500000: 0.007079
2.500000-2.750000: 0.006797
2.750000-3.000000: 0.006611
3.000000-3.250000: 0.006281
3.250000-3.500000: 0.006132
3.500000-3.750000: 0.005928
3.750000-4.000000: 0.005760
4.000000-4.250000: 0.005538
4.250000-4.500000: 0.005434
4.500000-4.750000: 0.005283
4.750000-5.000000: 0.005132
